,0,1,2,3
232,[9091    1],0,0,1
233,[9092    1],0,0,1
234,[9093    1],0,0,1
235,[9105   22],5,14,3
236,[9106   20],4,14,2
237,[9107    1],0,0,1
238,[9108    2],0,1,1
239,[9109    1],0,0,1
240,[9110    1],0,0,1
241,[9111    2],0,0,2
242,[9112    3],0,0,3
243,[9113    2],0,1,1
244,[9114    1],1,0,0
245,[9115   21],6,11,4
246,[9129    1],0,0,1
247,[9131   27],7,7,13
248,[9132   27],9,7,11
249,[9134   11],3,3,5
250,[9135    3],1,0,2
251,[9161    4],2,1,1
252,[9162   31],5,17,9
253,[9167   27],7,9,11
254,[9948    1],0,1,0
255,[10043     1],0,1,0
256,[10044     1],0,1,0
257,[10045     1],0,0,1
258,[10046     1],0,0,1
259,[10047     1],0,0,1
260,[10048     1],0,1,0
261,[10049     1],1,0,0
262,[10435    10],3,6,1
263,[10436     1],0,0,1
264,[10437     1],0,0,1
265,[10438     1],0,0,1
266,[10439     1],0,0,1
267,[10440     1],0,0,1
268,[11087     4],2,1,1
269,[11088     4],1,3,0
270,[11177     7],5,2,0
271,[11975     1],1,0,0
272,[13812     2],0,0,2
273,[13815    22],11,4,7
274,[13816     3],1,0,2
275,[13817     7],0,0,7
276,[13821    10],4,4,2
277,[13822    10],5,4,1
278,[13824     1],0,0,1
279,[13831     2],0,0,2
280,[13834     1],0,1,0
281,[13836     1],0,0,1
282,[13840     3],1,0,2
283,[13842    17],4,6,7
284,[13848     1],1,0,0
285,[15778     3],0,0,3
286,[15779    10],3,2,5
287,[15780     1],0,0,1
288,[15781    11],3,1,7
289,[15783    10],3,2,5
290,[15785    10],3,3,4
291,[15790    10],1,3,6
292,[15791    10],3,0,7
293,[15792     1],0,1,0
294,[15797    10],1,4,5
295,[15799    10],3,2,5
296,[15803     3],0,0,3
297,[15808    13],5,0,8
298,[15812    10],4,1,5
299,[15817    10],4,1,5
300,[15819    10],0,5,5
301,[15822     4],1,2,1
302,[15825     1],0,1,0
303,[15858     2],1,1,0
304,[15870     2],1,1,0
305,[15905    10],6,3,1
306,[15906    10],1,8,1
307,[15909     3],1,0,2
308,[15915     1],0,0,1
309,[15917     1],0,0,1
310,[15920     2],0,0,2
311,[15942     2],0,0,2
312,[16011     3],0,1,2
313,[16012    23],4,11,8
314,[16013     1],0,0,1
315,[16014    23],5,9,9
316,[16018    24],7,8,9
317,[16020    23],4,8,11
318,[16021     2],0,0,2
319,[16026    23],7,7,9
320,[16028    23],2,13,8
321,[16029    23],7,6,10
322,[16041     2],0,0,2
323,[16044    23],4,9,10
324,[16051    23],7,8,8
325,[16072    17],3,3,11
326,[16076    17],3,7,7
327,[16085    17],2,8,7
328,[16090    17],4,6,7
329,[16091     3],2,0,1
330,[16195    11],2,4,5
331,[16196    36],11,12,13
332,[16197    66],23,7,36
333,[16198    25],5,12,8
334,[16203    33],12,6,15
335,[16204     2],0,0,2
336,[16205     4],0,0,4
337,[16206    17],7,5,5
338,[16211    25],9,3,13
339,[16212    30],17,4,9
340,[16216    72],18,21,33
341,[16217    31],12,7,12
342,[16225    30],7,10,13
343,[16226    25],4,6,15
344,[16229    30],11,10,9
345,[16230    30],8,6,16
346,[16231    25],7,7,11
347,[16233    25],7,3,15
348,[16235    42],2,13,27
349,[16236     2],0,0,2
350,[16237    30],5,11,14
351,[16238    29],9,8,12
352,[16240    27],3,7,17
353,[16244    25],5,6,14
354,[16246     3],0,0,3
355,[16248     1],0,0,1
356,[16250    17],8,2,7
357,[16258     1],0,0,1
358,[16273     3],1,1,1
359,[16274     3],2,0,1
360,[16276     3],2,0,1
361,[16284     2],0,0,2
362,[16287    17],6,2,9
363,[16288    17],5,6,6
364,[16300    12],2,2,8
365,[16301     2],0,1,1
366,[16302    17],3,9,5
367,[16303    27],10,8,9
368,[16305    27],7,9,11
369,[16306    10],2,2,6
370,[16308    10],2,2,6
371,[16309    10],2,1,7
372,[16311    10],3,1,6
373,[16312    10],4,2,4
374,[16330     2],0,0,2
375,[16331    12],3,5,4
376,[16342     2],0,0,2
377,[16350     1],0,0,1
378,[16418     1],0,0,1
379,[16438     2],0,0,2
380,[16440     4],0,0,4
381,[16441     4],0,0,4
382,[16442     4],0,0,4
383,[16443     4],0,0,4
384,[16448     5],0,0,5
385,[16452     5],0,0,5
386,[16494     4],0,0,4
387,[16495     3],1,0,2
388,[16499     1],0,0,1
389,[16504     1],0,0,1
390,[16543     1],1,0,0
391,[16548     1],0,0,1
392,[16556     2],0,1,1
393,[16559     2],0,0,2
394,[16568     1],0,0,1
395,[16569     1],0,0,1
396,[16570     1],0,0,1
397,[16601     6],0,0,6
398,[16605     6],0,0,6
399,[16626     2],0,0,2
400,[16628     4],1,1,2
401,[16632     2],0,0,2
402,[16641    17],7,5,5
403,[16656     3],0,1,2
404,[16657     3],0,1,2
405,[16658     3],0,1,2
406,[16675    13],4,5,4
407,[16676    18],6,4,8
408,[16680     1],0,0,1
409,[16688     7],2,5,0
