,0,1,2,3,4
180,[8938    1],0,0,1,2.1
181,[8939    1],0,0,1,2.1
182,[8940    1],0,0,1,2.1
183,[8941    1],0,0,1,2.1
184,[8942    1],0,0,1,2.1
185,[8943    3],0,0,3,2.1
186,[8944    3],0,0,3,2.1
187,[8945    5],2,0,3,2.1
188,[8946    1],0,0,1,2.1
189,[8947    1],0,0,1,2.1
190,[8948    1],0,0,1,2.1
191,[8949    1],0,0,1,2.1
192,[8950    1],0,0,1,2.1
193,[8951    1],0,0,1,2.1
194,[8952    1],0,0,1,2.1
195,[8953    1],0,0,1,2.1
196,[8954    1],0,0,1,2.1
197,[8955    1],0,0,1,2.1
198,[8956    4],0,2,2,2.1
199,[8957    1],0,0,1,2.1
200,[8958    1],0,0,1,2.1
201,[8959    1],0,0,1,2.1
202,[8960    1],0,0,1,2.1
203,[8961    1],0,0,1,2.1
204,[8962    1],0,0,1,2.1
205,[8963    1],0,0,1,2.1
206,[8964    1],0,0,1,2.1
207,[8965    1],0,0,1,2.1
208,[8966    1],0,0,1,2.1
209,[8967    1],0,0,1,2.1
210,[8996    8],2,2,4,9.1
211,[8997    8],0,5,3,9.1
212,[8998    8],3,2,3,9.1
213,[8999    8],3,3,2,1.1
214,[9000    8],1,4,3,1.1
215,[9001    8],3,3,2,1.1
216,[9002    8],2,3,3,1.1
217,[9003    3],0,1,2,1.1
218,[9005    1],0,0,1,2.1
219,[9006    2],0,1,1,2.1
220,[9014    1],0,0,1,2.1
221,[9032    2],0,0,2,2.1
222,[9067    1],1,0,0,2.1
223,[9071    1],0,0,1,2.1
224,[9072    1],0,0,1,2.1
225,[9074    1],0,1,0,2.1
226,[9084    2],2,0,0,2.1
227,[9086    3],1,1,1,2.1
228,[9087    1],0,0,1,2.1
229,[9088    1],0,0,1,2.1
230,[9089    1],0,0,1,2.1
231,[9090    1],0,0,1,2.1
232,[9091    1],0,0,1,2.1
233,[9092    1],0,0,1,2.1
234,[9093    1],0,0,1,2.1
235,[9105   22],5,14,3,2.1
236,[9106   20],4,14,2,2.1
237,[9107    1],0,0,1,2.1
238,[9108    2],0,1,1,2.1
239,[9109    1],0,0,1,2.1
240,[9110    1],0,0,1,2.1
241,[9111    2],0,0,2,2.1
242,[9112    3],0,0,3,2.1
243,[9113    2],0,1,1,2.1
244,[9114    1],1,0,0,2.1
245,[9115   21],6,11,4,2.1
246,[9129    1],0,0,1,3.1
247,[9131   27],7,7,13,3.1
248,[9132   27],9,7,11,3.1
249,[9134   11],3,3,5,3.1
250,[9135    3],1,0,2,3.1
251,[9161    4],2,1,1,3.1
252,[9162   31],5,17,9,3.1
253,[9167   27],7,9,11,3.1
254,[9948    1],0,1,0,3.1
255,[10043     1],0,1,0,3.1
256,[10044     1],0,1,0,3.1
257,[10045     1],0,0,1,3.1
258,[10046     1],0,0,1,9.1
259,[10047     1],0,0,1,9.1
260,[10048     1],0,1,0,9.1
261,[10049     1],1,0,0,9.1
262,[10435    10],3,6,1,1.1
263,[10436     1],0,0,1,1.1
264,[10437     1],0,0,1,1.1
265,[10438     1],0,0,1,1.1
266,[10439     1],0,0,1,1.1
267,[10440     1],0,0,1,1.1
268,[11087     4],2,1,1,1.1
269,[11088     4],1,3,0,1.1
270,[11177     7],5,2,0,1.1
271,[11975     1],1,0,0,1.1
272,[13812     2],0,0,2,1.1
273,[13815    22],11,4,7,2.1
274,[13816     3],1,0,2,2.1
275,[13817     7],0,0,7,2.1
276,[13821    10],4,4,2,2.1
277,[13822    10],5,4,1,2.1
278,[13824     1],0,0,1,2.1
279,[13831     2],0,0,2,2.1
280,[13834     1],0,1,0,2.1
281,[13836     1],0,0,1,2.1
282,[13840     3],1,0,2,2.1
283,[13842    17],4,6,7,2.1
284,[13848     1],1,0,0,2.1
285,[15778     3],0,0,3,2.1
286,[15779    10],3,2,5,2.1
287,[15780     1],0,0,1,2.1
288,[15781    11],3,1,7,2.1
289,[15783    10],3,2,5,2.1
290,[15785    10],3,3,4,2.1
291,[15790    10],1,3,6,2.1
292,[15791    10],3,0,7,2.1
293,[15792     1],0,1,0,2.1
294,[15797    10],1,4,5,2.1
295,[15799    10],3,2,5,2.1
296,[15803     3],0,0,3,2.1
297,[15808    13],5,0,8,2.1
298,[15812    10],4,1,5,2.1
299,[15817    10],4,1,5,2.1
300,[15819    10],0,5,5,2.1
301,[15822     4],1,2,1,3.1
302,[15825     1],0,1,0,3.1
303,[15858     2],1,1,0,3.1
304,[15870     2],1,1,0,3.1
305,[15905    10],6,3,1,3.1
306,[15906    10],1,8,1,3.1
307,[15909     3],1,0,2,3.1
308,[15915     1],0,0,1,3.1
309,[15917     1],0,0,1,3.1
310,[15920     2],0,0,2,3.1
311,[15942     2],0,0,2,3.1
312,[16011     3],0,1,2,3.1
313,[16012    23],4,11,8,1.1
314,[16013     1],0,0,1,1.1
315,[16014    23],5,9,9,1.1
316,[16018    24],7,8,9,1.1
317,[16020    23],4,8,11,1.1
318,[16021     2],0,0,2,1.1
319,[16026    23],7,7,9,1.1
320,[16028    23],2,13,8,1.1
321,[16029    23],7,6,10,1.1
322,[16041     2],0,0,2,1.1
323,[16044    23],4,9,10,1.1
324,[16051    23],7,8,8,1.1
325,[16072    17],3,3,11,1.1
